rsids	fin_enrichment	phenotype	category	beta	sebeta	mlogp	pval	num_cases
rs573555195	No NFEE in gnomAD	Dermatitis and eczema	XII Diseases of the skin and subcutaneous tissue (L12_)	0.280254	0.0671571	4.52222	3.00455E-05	40688
rs772543474	No data in gnomAD	Other diseases of arteries and capillaries	IX Diseases of the circulatory system (I9_)	2.90162	0.695846	4.51612	3.04705E-05	2679
rs117304157	1.2e+0	Paralytic ileus and intestinal obstruction	XI Diseases of the digestive system (K11_)	0.0853061	0.0205086	4.49635	3.18897E-05	8660
rs979683754	No data in gnomAD	Other nonscarring hair loss	XII Diseases of the skin and subcutaneous tissue (L12_)	6.61628	1.59166	4.49124	3.22671E-05	198
rs11879534	7.7e-1	Heterophoria	VII Diseases of the eye and adnexa (H7_)	0.26782	0.0644716	4.48599	3.26595E-05	2233
	No data in gnomAD	Other and unspecified hypertrophic disorders of skin	XII Diseases of the skin and subcutaneous tissue (L12_)	4.60576	1.11041	4.4741	0.000033566	143
rs566297682	No NFEE in gnomAD	Malignant neoplasm of small intestine (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	2.25886	0.544804	4.47102	3.38049E-05	495
rs8104397	6.3e-1	Septal defects	"XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)"	0.197676	0.0476805	4.47035	3.38571E-05	1744
rs116092141	9.1e-1	Migraine without aura	VI Diseases of the nervous system (G6_)	0.0769743	0.0186029	4.45507	3.50695E-05	6730
rs7255156	1.2e+0	Tuberculosis	I Certain infectious and parasitic diseases (AB1_)	0.119053	0.0287767	4.45384	0.000035169	2432
rs9807878	1.3e+0	"Type1 diabetes, definitions combined"	Diabetes endpoints	-0.14263	0.0345496	4.43708	3.65527E-05	4196
rs76497942	7.0e+0	Type 2 diabetes with coma	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-1.23073	0.298187	4.43545	3.66902E-05	4709
rs71334705	5.2e-1	Degeneration of macula and posterior pole	VII Diseases of the eye and adnexa (H7_)	-0.08894	0.0215703	4.42766	3.73542E-05	15137
rs182990544	3.8e+0	First line medication for Crohn's disease	Drug purchase endpoints	0.197512	0.0479392	4.4216	3.78791E-05	77497
rs999192108	No data in gnomAD	Communicating hydrocephalus	VI Diseases of the nervous system (G6_)	2.44262	0.592917	4.42087	3.79429E-05	488
rs568850609	3.2e-1	Other bursal cyst	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1.7233	0.41834	4.42034	3.79892E-05	393
rs529575170	No data in gnomAD	Rheumatic valve diseases	IX Diseases of the circulatory system (I9_)	4.6942	1.13986	4.41819	3.81777E-05	703
rs1402920471	No data in gnomAD	Benign neoplasm: Lower jaw bone	II Neoplasms from hospital discharges (CD2_)	4.46814	1.08574	4.41265	3.86678E-05	114
rs746099188	2.1e+0	"Polyarthritis, unspecified"	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2.45052	0.595469	4.4126	3.86723E-05	1047
rs182660177	3.4e-1	Other joint disorders	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	-0.303656	0.0738251	4.40867	3.90238E-05	81676
rs555118260	4.9e-1	Benign neoplasm: Spinal meninges	II Neoplasms from hospital discharges (CD2_)	1.86099	0.452467	4.4083	3.90571E-05	242
rs189048314	2.1e-1	Thiamine deficiency	"IV Endocrine, nutritional and metabolic diseases (E4_)"	2.89197	0.703211	4.40743	3.91354E-05	137
rs111560024	No data in gnomAD	Causalgia	VI Diseases of the nervous system (G6_)	3.52911	0.859355	4.39646	4.01365E-05	438
rs1217739846	No data in gnomAD	ILD related to systemic autoimmune disease	Interstitial lung disease endpoints	3.57039	0.871017	4.38222	4.14744E-05	104
rs141155703	1.6e+0	Oligomenorrhoea	XIV Diseases of the genitourinary system (N14_)	-0.211194	0.0515531	4.37758	4.19199E-05	1065
rs143695319	5.7e-1	Atopic dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	-0.408415	0.0997168	4.37592	4.20804E-05	13473
rs140150874	1.3e+0	Infective bursitis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.50073	0.12235	4.37002	0.000042656	743
rs7254215	9.8e-1	Pyothorax	X Diseases of the respiratory system (J10_)	0.220118	0.0538105	4.36632	0.000043021	1120
rs141551410	4.3e-1	Statin medication	IX Diseases of the circulatory system (I9_)	0.0860027	0.0210516	4.3564	4.40149E-05	127169
rs141803003	1.6e+1	Acromegaly and pituitary gigantism	"IV Endocrine, nutritional and metabolic diseases (E4_)"	3.38044	0.827607	4.35503	0.000044154	183
rs10445634	1.8e+0	"Collapsed vertebra, not elsewhere classified"	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.613807	0.150316	4.35288	4.43731E-05	193
rs111307201	1.1e-1	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	II Neoplasms from hospital discharges (CD2_)	1.8052	0.442323	4.34866	4.48064E-05	3754
rs550114936	No data in gnomAD	"Benign neoplasm of colon, rectum, anus and anal canal"	II Neoplasms from hospital discharges (CD2_)	0.898571	0.22018	4.34847	0.000044826	20336
rs1293556426	No NFEE in gnomAD	Other specified and unspecified disorders of lens	VII Diseases of the eye and adnexa (H7_)	3.46552	0.849502	4.34545	4.51388E-05	215
rs1038213621	2.3e+0	Hypo-osmolality and hyponatraemia	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-2.17268	0.532814	4.34224	4.54737E-05	5137
rs1315802983	No data in gnomAD	"Benign neoplasm: Central nervous system, other parts/unspecified"	II Neoplasms from hospital discharges (CD2_)	7.48293	1.83778	4.33101	4.66649E-05	90
rs181086536	2.6e+1	Dialysis	XIV Diseases of the genitourinary system (N14_)	-1.22219	0.300257	4.32871	4.69127E-05	1004
rs1057027568	No data in gnomAD	Major coronary heart disease event	IX Diseases of the circulatory system (I9_)	0.741421	0.182177	4.3274	4.70544E-05	43518
rs1217739846	No data in gnomAD	ILD and respiratory illness in diseases classified elsewhere	Interstitial lung disease endpoints	3.52734	0.867173	4.32337	0.000047493	113
	No data in gnomAD	"Postprocedural disorders of ear and mastoid process, not elsewhere classified"	VIII Diseases of the ear and mastoid process (H8_)	6.75429	1.66076	4.32217	4.76245E-05	206
rs184167769	1.1e+1	Hypertrophic scar	XII Diseases of the skin and subcutaneous tissue (L12_)	1.17326	0.288917	4.31081	4.88866E-05	1476
rs1399229237	No NFEE in gnomAD	Alzheimer’s disease (undefined) (more control exclusions)	Neurological endpoints	3.65653	0.900542	4.30983	4.89971E-05	402
rs368173364	No FIN in gnomAD	"Basal cell carcinoma, including avohilmo (controls excluding all cancers)"	"II Neoplasms, from cancer register (ICD-O-3)"	-0.742725	0.182993	4.30687	4.93321E-05	19522
rs11882474	1.1e+0	Nystagmus and other irregular eye movements	VII Diseases of the eye and adnexa (H7_)	0.301515	0.0743221	4.30334	4.97348E-05	346
rs558501823	1.1e+0	Vascular dementia (undefined)	Neurological endpoints	1.19459	0.294543	4.30127	4.99724E-05	1093
