rsids	fin_enrichment	phenotype	category	beta	sebeta	mlogp	pval	num_cases
rs9926887	9.5e-1	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances	XX External causes of morbidity and mortality (VWXY20_)	0.0921118	0.0221381	4.49874	3.17147E-05	5811
rs920428151	1.6e+0	Idiopathic peripheral autonomic neuropathy	VI Diseases of the nervous system (G6_)	3.55273	0.854753	4.49046	3.23251E-05	89
rs951897151	1.6e+0	Onycholysis	XII Diseases of the skin and subcutaneous tissue (L12_)	3.35313	0.807336	4.48455	0.000032768	153
rs148352782	2.2e-1	Hypopituitarism	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-2.71365	0.654833	4.46694	0.000034124	1902
rs760291554	No data in gnomAD	"Acquired clawhand, clubhand, clawfoot and clubfoot"	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	4.45234	1.07505	4.4622	3.44985E-05	131
rs374195308	2.0e+0	Benign neoplasm: Lower jaw bone	II Neoplasms from hospital discharges (CD2_)	3.21737	0.777535	4.45532	3.50494E-05	114
rs922314478	No NFEE in gnomAD	"Chronic periodontitis, complicated"	XI Diseases of the digestive system (K11_)	1.36199	0.329417	4.44896	3.55664E-05	2462
rs117095327	1.5e+0	Algoneurodystrophy	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.63045	0.15261	4.44248	3.61011E-05	888
rs527388634	5.2e-1	Abscess of lung	X Diseases of the respiratory system (J10_)	2.24908	0.544847	4.43644	3.66067E-05	390
"rs368488730,rs556789453"	2.3e-1	Mandibular retrognathia	XI Diseases of the digestive system (K11_)	0.745044	0.180639	4.42996	3.71569E-05	1703
rs190077263	2.6e+0	Other specified/unspecified deforming dorsopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1.88642	0.457556	4.42683	3.74257E-05	530
	No data in gnomAD	Other disorders following mastoidectomy	VIII Diseases of the ear and mastoid process (H8_)	4.46663	1.08437	4.41983	3.80338E-05	89
	No data in gnomAD	Complications following abortion and ectopic and molar pregnancy	"XV Pregnancy, childbirth and the puerperium (O15_)"	2.53312	0.615017	4.41921	3.80882E-05	1004
rs1048395417	9.6e+0	Other diseases of urinary system	XIV Diseases of the genitourinary system (N14_)	0.443136	0.107748	4.40776	3.91057E-05	49276
rs568910239	No data in gnomAD	Mood [affective] disorders	V Mental and behavioural disorders (F5_)	-0.796105	0.193615	4.40607	3.92582E-05	48085
rs146073985	No data in gnomAD	Malignant neoplasm of adrenal gland (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	5.28956	1.28674	4.40423	3.94248E-05	88
rs191210714	2.2e+0	Diffuse large B-cell lymphoma (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	0.442706	0.107741	4.40074	3.97429E-05	1010
rs545714009	1.2e+1	Ankyloglossia	"XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)"	3.35064	0.817285	4.38337	4.13647E-05	365
rs75223942	5.7e-1	Alzheimer’s disease (Atypical or mixed) (more control exclusions)	Neurological endpoints	0.986927	0.240774	4.38197	4.14983E-05	2044
rs1457944185	No NFEE in gnomAD	Vitamin A deficiency	"IV Endocrine, nutritional and metabolic diseases (E4_)"	2.78896	0.680578	4.38001	0.000041686	120
rs193037835	6.1e-1	Infections specific to the perinatal period	XVI Certain conditions originating in the perinatal period (P16_)	1.81415	0.442742	4.37928	4.17561E-05	256
rs111544881	No data in gnomAD	Other acquired deformities of musculoskeletal system and connective tissue	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2.60495	0.635851	4.37787	4.18919E-05	1249
rs143613129	No NFEE in gnomAD	Unequal limb length (acquired)	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1.8314	0.447335	4.37269	4.23945E-05	234
rs778136312	2.8e+1	Benign neoplasm of mouth and pharynx	II Neoplasms from hospital discharges (CD2_)	0.680514	0.166286	4.36971	4.26864E-05	3216
rs184499439	No data in gnomAD	Neuroendocrine tumor and carcinoma of lung (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	4.44659	1.08672	4.36843	4.28124E-05	169
rs750926165	No data in gnomAD	"Severe visual impairment, binocular"	VII Diseases of the eye and adnexa (H7_)	2.82967	0.692103	4.36236	0.000043415	122
rs573816468	1.2e+1	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	-1.13567	0.277786	4.36194	0.000043457	3554
	No data in gnomAD	Hyphaema and other vascular disorders of iris and ciliary body	VII Diseases of the eye and adnexa (H7_)	4.64146	1.13673	4.35235	4.44273E-05	467
rs1450784972	No data in gnomAD	Age-related macular degeneration (whether dry or wet)	VII Diseases of the eye and adnexa (H7_)	-8.55135	2.09673	4.3435	4.53419E-05	8913
rs1019455859	No data in gnomAD	Serous carcinoma of ovary (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	2.47617	0.607331	4.34108	4.55953E-05	852
rs561993529	No data in gnomAD	Recurrent cholesteatoma of postmastoidectomy cavity	VIII Diseases of the ear and mastoid process (H8_)	4.60936	1.13086	4.33892	4.58226E-05	87
rs186466868	2.1e-1	Dacryoadenitis	VII Diseases of the eye and adnexa (H7_)	1.84206	0.452141	4.33538	4.61977E-05	198
rs758556048	No data in gnomAD	First line medication for Crohn's disease	Drug purchase endpoints	0.594758	0.146154	4.32666	4.71346E-05	77497
rs369762889	No data in gnomAD	Nontoxic single thyroid nodule	"IV Endocrine, nutritional and metabolic diseases (E4_)"	4.63879	1.14019	4.32483	4.73337E-05	2027
rs538855385	8.5e-1	Other benign neoplasms of connective and other soft tissue	II Neoplasms from hospital discharges (CD2_)	-1.37857	0.339092	4.31934	4.79358E-05	2857
rs11867022	8.8e-1	Obesity	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-0.0415154	0.0102203	4.31298	0.000048643	21375
rs902134240	No FIN in gnomAD	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	1.19699	0.295046	4.30354	4.97119E-05	12301
rs117147442	2.2e+0	"Myocardial infarction, strict"	IX Diseases of the circulatory system (I9_)	-0.131663	0.0324555	4.30303	4.97703E-05	24185
rs112858230	No data in gnomAD	"Height, inverse-rank normalized"	Quantitative endpoints	-0.275021	0.0678038	4.30196	0.000049893	267937
