rsids	fin_enrichment	phenotype	category	beta	sebeta	mlogp	pval	num_cases
rs1451109978	No NFEE in gnomAD	Dependent personality disorder	V Mental and behavioural disorders (F5_)	1.94391	0.464172	4.55046	0.000028154	610
rs764952363	No NFEE in gnomAD	Falls/tendency to fall	"Miscellaneous, not yet classified endpoints"	-0.72041	0.172132	4.5453	2.84905E-05	92857
	No data in gnomAD	Other forms of systemic lupus erythematosus	Rheuma endpoints	4.67807	1.11795	4.54399	2.85766E-05	236
rs115169446	3.1e-1	Other diseases of upper respiratory tract	X Diseases of the respiratory system (J10_)	-0.357025	0.0853687	4.53947	2.88755E-05	93935
"rs111420160,rs59719462"	1.0e+0	Obesity related asthma	Comorbidities of Asthma	-0.100665	0.0240702	4.53941	2.88795E-05	10306
rs533950464	No data in gnomAD	Alzheimer s disease (undefined) (more control exclusions)	Neurological endpoints	0.840517	0.201222	4.52973	2.95304E-05	402
rs773492533	No NFEE in gnomAD	"Benign neoplasm of colon, rectum, anus and anal canal"	II Neoplasms from hospital discharges (CD2_)	0.449084	0.107524	4.52887	0.000029589	20336
rs140233442	No data in gnomAD	Placental disorders	"XV Pregnancy, childbirth and the puerperium (O15_)"	3.82532	0.916312	4.52522	2.98387E-05	221
rs184153905	4.3e-2	Diverticular disease of intestine	XI Diseases of the digestive system (K11_)	0.552829	0.132615	4.51376	3.06366E-05	30649
rs775526044	No data in gnomAD	Optic atrophy	VII Diseases of the eye and adnexa (H7_)	3.51846	0.844056	4.51345	3.06584E-05	430
rs553062457	5.6e+1	Benign neoplasm: Other/unspecified site	II Neoplasms from hospital discharges (CD2_)	0.872215	0.209378	4.50816	3.10342E-05	424
rs254221	5.3e-1	Other neurological diseases	VI Diseases of the nervous system (G6_)	-0.0867026	0.0208163	4.507	3.11172E-05	27026
rs59561259	2.2e+0	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances	XX External causes of morbidity and mortality (VWXY20_)	-0.122514	0.0294161	4.5065	0.000031153	5811
rs563022086	No data in gnomAD	Chronic sinusitis	X Diseases of the respiratory system (J10_)	-3.82796	0.919641	4.5019	3.14847E-05	16395
rs10155646	6.4e-1	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	-0.108811	0.0261675	4.49389	3.20708E-05	10937
rs632993	9.1e-1	Sudden idiopathic hearing loss	VIII Diseases of the ear and mastoid process (H8_)	0.112652	0.0270939	4.49315	3.21255E-05	2848
rs961538382	8.6e+0	Nummular dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	0.668479	0.161011	4.48156	3.29944E-05	2164
rs149757615	3.5e+0	Type 2 diabetes with other specified/multiple/unspecified complications	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-0.14476	0.0348754	4.47972	3.31345E-05	46373
rs114241096	1.6e+0	Other benign neoplasm of uterus: Corpus uteri	II Neoplasms from hospital discharges (CD2_)	-1.75283	0.422465	4.47646	3.33841E-05	177
rs1313951218	3.1e+0	Crystalline deposits in vitreous body	VII Diseases of the eye and adnexa (H7_)	3.57558	0.861907	4.47531	3.34726E-05	202
	No data in gnomAD	"Recurring oral aphthae, including avohilmo"	XI Diseases of the digestive system (K11_)	1.40175	0.337996	4.47301	3.36504E-05	3577
rs564490572	No data in gnomAD	Open bite that required surgery (Lefort1 or BSSRO)	XI Diseases of the digestive system (K11_)	4.52501	1.09149	4.4701	3.38766E-05	237
rs1193868094	No data in gnomAD	Fatigue fracture of vertebra	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	4.55194	1.09832	4.46775	3.40604E-05	106
rs116298313	5.0e+0	Familial hypercholesterolemia	"IV Endocrine, nutritional and metabolic diseases (E4_)"	0.235753	0.0569792	4.4546	3.51075E-05	4965
rs79945450	1.1e-1	Single spontaneous delivery	"XV Pregnancy, childbirth and the puerperium (O15_)"	-0.255781	0.0618576	4.44981	3.54969E-05	106627
rs183650483	No data in gnomAD	Other specified/unspecified deforming dorsopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3.12867	0.757092	4.44507	3.58864E-05	530
rs79810893	1.4e+0	"Nerve, nerve root and plexus disorders"	VI Diseases of the nervous system (G6_)	0.0531441	0.0128641	4.44263	3.60886E-05	46900
rs1279750138	No data in gnomAD	"Myocardial infarction, strict"	IX Diseases of the circulatory system (I9_)	1.69838	0.411812	4.42935	3.72092E-05	24185
rs544777409	7.8e-1	Iliotibial band syndrome	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2.86094	0.69387	4.42746	3.73715E-05	279
rs1199332598	No NFEE in gnomAD	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)	2.20912	0.535878	4.4261	3.74887E-05	219
rs1316185012	No NFEE in gnomAD	Narcolepsy and cataplexy	VI Diseases of the nervous system (G6_)	2.68745	0.651909	4.4261	3.74887E-05	176
rs575565598	8.0e-2	"Height, inverse-rank normalized"	Quantitative endpoints	-0.137973	0.0334914	4.42084	3.79455E-05	267937
	No data in gnomAD	Hypermetropia	VII Diseases of the eye and adnexa (H7_)	7.11386	1.72705	4.41977	3.80391E-05	1734
rs684730	1.3e+0	Medical treatment for female infertility	Drug purchase endpoints	-0.113869	0.027654	4.41706	3.82772E-05	6446
rs1485031002	No data in gnomAD	Glomerular diseases	XIV Diseases of the genitourinary system (N14_)	2.0187	0.4903	4.41638	3.83372E-05	5642
rs143620813	1.5e+0	Polyhydramnios	"XV Pregnancy, childbirth and the puerperium (O15_)"	0.347705	0.0844733	4.41425	3.85257E-05	1209
rs1432217586	No NFEE in gnomAD	"Cerebral aneurysm, nonruptured"	IX Diseases of the circulatory system (I9_)	1.669	0.405711	4.40977	3.89251E-05	2582
rs141948575	No data in gnomAD	Bulimia nervosa (incl. atypical)	V Mental and behavioural disorders (F5_)	7.85408	1.90929	4.40949	3.89502E-05	1028
rs154601	9.4e+0	Loose body in joint	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2.48598	0.604548	4.40669	3.92022E-05	665
rs543521237	No data in gnomAD	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	2.22888	0.542796	4.3957	4.02068E-05	2143
rs563269531	No data in gnomAD	Inguinal hernia	XI Diseases of the digestive system (K11_)	-0.940856	0.229213	4.39276	0.00004048	32335
rs183296765	5.2e-1	Disorders of psychological development	V Mental and behavioural disorders (F5_)	0.455606	0.11101	4.39174	4.05751E-05	3793
rs607930	1.3e+0	Mental and behavioural disorders due to cannabinoids	V Mental and behavioural disorders (F5_)	0.197133	0.0480497	4.38893	4.08385E-05	939
rs154577	1.1e+0	Other disorders of amniotic fluid and membranes	"XV Pregnancy, childbirth and the puerperium (O15_)"	-0.0962829	0.0234686	4.38882	4.08489E-05	4132
rs116047718	3.1e+0	Rotator cuff syndrome	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.115692	0.0282118	4.38543	0.000041169	24061
rs181164147	No data in gnomAD	Lesion of radial nerve	VI Diseases of the nervous system (G6_)	2.2722	0.554109	4.3851	4.12003E-05	1033
rs575402698	8.9e-1	Panic disorder	V Mental and behavioural disorders (F5_)	0.947916	0.231288	4.38094	4.15968E-05	4801
rs150954422	6.9e-1	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	0.886269	0.216317	4.37841	4.18398E-05	1289
rs1193484013	No NFEE in gnomAD	Childhood allergy (age < 16)	Asthma and related endpoints	0.53311	0.130191	4.37421	4.22464E-05	5337
rs469035	9.4e-1	"Generalized epilepsy, mode (most common among epilepsy diagnosis)"	VI Diseases of the nervous system (G6_)	0.122291	0.029865	4.37414	4.22532E-05	2235
rs1216380909	No data in gnomAD	Premenstrual syndrome	XIV Diseases of the genitourinary system (N14_)	3.47164	0.847923	4.37317	4.23477E-05	247
rs191269633	1.0e+1	Unspecified chronic bronchitis	X Diseases of the respiratory system (J10_)	0.52997	0.129658	4.36034	4.36174E-05	1150
rs748592773	No data in gnomAD	Congenital deformities of feet	"XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)"	3.4595	0.847193	4.35295	0.000044366	674
rs142928572	No NFEE in gnomAD	Polyarthropathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	-1.80989	0.443329	4.35109	4.45564E-05	32199
rs1191674071	No data in gnomAD	"Disorders of ocular muscles, binocular movement, accommodation and refraction"	VII Diseases of the eye and adnexa (H7_)	1.08609	0.266099	4.34929	4.47414E-05	16040
rs189896564	4.3e-1	Pure hyperglyceridaemia	"IV Endocrine, nutritional and metabolic diseases (E4_)"	2.23409	0.547428	4.34841	4.48322E-05	565
	No data in gnomAD	Chronic lymphocytic leukaemia (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	3.51026	0.860369	4.34633	4.50474E-05	624
rs151171387	3.2e+0	Immunodeficiency with predominantly antibody defects	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.877883	0.215393	4.33846	4.58712E-05	711
rs1423381599	No FIN in gnomAD	"Molar incisor enamel hypoplasia, with caries"	XI Diseases of the digestive system (K11_)	3.58339	0.879305	4.33758	4.59642E-05	187
rs1035494635	No NFEE in gnomAD	Urethritis and urethral syndrome	XIV Diseases of the genitourinary system (N14_)	3.3378	0.819153	4.33653	4.60755E-05	616
rs547651304	No NFEE in gnomAD	Papulosquamous disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	2.46551	0.605189	4.33515	4.62221E-05	13206
rs1457718439	No data in gnomAD	Coronary artery bypass grafting	IX Diseases of the circulatory system (I9_)	1.83862	0.451437	4.33302	4.64494E-05	10938
rs57526524	1.3e+0	Chronic hepatitis NAS	Gastrointestinal endpoints	-0.790689	0.194168	4.33188	4.65715E-05	345
rs538593924	No data in gnomAD	"Conductive hearing loss, unspecified"	VIII Diseases of the ear and mastoid process (H8_)	2.21276	0.543598	4.32888	4.68943E-05	2398
rs538692019	2.6e-1	Transient synovitis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3.77842	0.92843	4.32719	4.70771E-05	209
rs115981230	2.8e+0	Parapsoriasis	XII Diseases of the skin and subcutaneous tissue (L12_)	0.982905	0.241667	4.32254	4.75839E-05	488
rs80186224	1.1e+0	COPD	X Diseases of the respiratory system (J10_)	-0.146598	0.0360905	4.31282	4.86609E-05	18266
rs190246764	3.7e-1	Persistent mood disorders	V Mental and behavioural disorders (F5_)	-1.62545	0.400597	4.30464	4.95861E-05	6756
rs771095363	1.6e+1	Hydronephrosis	XIV Diseases of the genitourinary system (N14_)	0.751213	0.185212	4.30165	4.99287E-05	3252
